make,model,year,mileage,engine,transmission,fuel_type,location,condition,price
Mercedes-Benz,C200,2013,32895,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3937500
Nissan,X-Trail,2014,33068,2000 cc,Automatic,Petrol,Nakuru,Locally Used,2012499
Honda,Fit,2015,33241,1500 cc,Manual,Petrol,Kisumu,Locally Used,1762500
BMW,X3,2016,33414,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,5040000
Audi,A4,2017,33587,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4777500
Toyota,Premio,2018,33760,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1575000
Subaru,Outback,2019,33933,2500 cc,Automatic,Petrol,Nairobi,Locally Used,1860000
Mazda,CX-5,2020,34106,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2280000
Mercedes-Benz,C200,2021,34279,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,2887500
Nissan,X-Trail,2022,34452,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1487500
Honda,Fit,2008,34625,1500 cc,Manual,Petrol,Kisumu,Locally Used,1312500
BMW,X3,2009,34798,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3780000
Audi,A4,2010,34971,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3607500
Toyota,Premio,2011,35144,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1995000
Subaru,Outback,2012,35317,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2340000
Mazda,CX-5,2013,35490,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2850000
Mercedes-Benz,C200,2014,35663,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3587499
Nissan,X-Trail,2015,35836,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1837500
Honda,Fit,2016,36009,1500 cc,Manual,Petrol,Kisumu,Locally Used,1612500
BMW,X3,2017,36182,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4620000
Audi,A4,2018,36355,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4387500
Toyota,Premio,2019,36528,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2415000
Subaru,Outback,2020,36701,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2820000
Mazda,CX-5,2021,36874,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3420000
Mercedes-Benz,C200,2022,37047,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,4287500
Nissan,X-Trail,2008,37220,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1312500
Honda,Fit,2009,37393,1500 cc,Manual,Petrol,Kisumu,Locally Used,1162500
BMW,X3,2010,37566,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3360000
Audi,A4,2011,37739,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3217500
Toyota,Premio,2012,37912,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1785000
Subaru,Outback,2013,38085,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2100000
Mazda,CX-5,2014,38258,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2565000
Mercedes-Benz,C200,2015,38431,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3237500
Nissan,X-Trail,2016,38604,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1662500
Honda,Fit,2017,38777,1500 cc,Manual,Petrol,Kisumu,Locally Used,1462500
BMW,X3,2018,38950,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4200000
Audi,A4,2019,39123,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3997499
Toyota,Premio,2020,39296,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2205000
Subaru,Outback,2021,39469,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2580000
Mazda,CX-5,2022,39642,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3135000
Mercedes-Benz,C200,2008,39815,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3937500
Nissan,X-Trail,2009,39988,2000 cc,Automatic,Petrol,Nakuru,Locally Used,2012499
Honda,Fit,2010,40161,1500 cc,Manual,Petrol,Kisumu,Locally Used,1762500
BMW,X3,2011,40334,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,5040000
Audi,A4,2012,40507,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4777500
Toyota,Premio,2013,40680,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1575000
Subaru,Outback,2014,40853,2500 cc,Automatic,Petrol,Nairobi,Locally Used,1860000
Mazda,CX-5,2015,41026,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2280000
Mercedes-Benz,C200,2016,41199,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,2887500
Nissan,X-Trail,2017,41372,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1487500
Honda,Fit,2018,41545,1500 cc,Manual,Petrol,Kisumu,Locally Used,1312500
BMW,X3,2019,41718,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3780000
Audi,A4,2020,41891,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3607500
Toyota,Premio,2021,42064,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1995000
Subaru,Outback,2022,42237,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2340000
Mazda,CX-5,2008,42410,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2850000
Mercedes-Benz,C200,2009,42583,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3587499
Nissan,X-Trail,2010,42756,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1837500
Honda,Fit,2011,42929,1500 cc,Manual,Petrol,Kisumu,Locally Used,1612500
BMW,X3,2012,43102,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4620000
Audi,A4,2013,43275,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4387500
Toyota,Premio,2014,43448,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2415000
Subaru,Outback,2015,43621,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2820000
Mazda,CX-5,2016,43794,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3420000
Mercedes-Benz,C200,2017,43967,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,4287500
Nissan,X-Trail,2018,44140,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1312500
Honda,Fit,2019,44313,1500 cc,Manual,Petrol,Kisumu,Locally Used,1162500
BMW,X3,2020,44486,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3360000
Audi,A4,2021,44659,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3217500
Toyota,Premio,2022,44832,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1785000
Subaru,Outback,2008,45005,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2100000
Mazda,CX-5,2009,45178,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2565000
Mercedes-Benz,C200,2010,45351,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3237500
Nissan,X-Trail,2011,45524,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1662500
Honda,Fit,2012,45697,1500 cc,Manual,Petrol,Kisumu,Locally Used,1462500
BMW,X3,2013,45870,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4200000
Audi,A4,2014,46043,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3997499
Toyota,Premio,2015,46216,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2205000
Subaru,Outback,2016,46389,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2580000
Mazda,CX-5,2017,46562,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3135000
Mercedes-Benz,C200,2018,46735,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3937500
Nissan,X-Trail,2019,46908,2000 cc,Automatic,Petrol,Nakuru,Locally Used,2012499
Honda,Fit,2020,47081,1500 cc,Manual,Petrol,Kisumu,Locally Used,1762500
BMW,X3,2021,47254,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,5040000
Audi,A4,2022,47427,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4777500
Toyota,Premio,2008,47600,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1575000
Subaru,Outback,2009,47773,2500 cc,Automatic,Petrol,Nairobi,Locally Used,1860000
Mazda,CX-5,2010,47946,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2280000
Mercedes-Benz,C200,2011,48119,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,2887500
Nissan,X-Trail,2012,48292,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1487500
Honda,Fit,2013,48465,1500 cc,Manual,Petrol,Kisumu,Locally Used,1312500
BMW,X3,2014,48638,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3780000
Audi,A4,2015,48811,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3607500
Toyota,Premio,2016,48984,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1995000
Subaru,Outback,2017,49157,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2340000
Mazda,CX-5,2018,49330,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2850000
Mercedes-Benz,C200,2019,49503,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3587499
Nissan,X-Trail,2020,49676,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1837500
Honda,Fit,2021,49849,1500 cc,Manual,Petrol,Kisumu,Locally Used,1612500
BMW,X3,2022,50022,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4620000
Audi,A4,2008,50195,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4387500
Toyota,Premio,2009,50368,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2415000
Subaru,Outback,2010,50541,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2820000
Mazda,CX-5,2011,50714,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3420000
Mercedes-Benz,C200,2012,50887,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,4287500
Nissan,X-Trail,2013,51060,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1312500
Honda,Fit,2014,51233,1500 cc,Manual,Petrol,Kisumu,Locally Used,1162500
BMW,X3,2015,51406,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3360000
Audi,A4,2016,51579,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3217500
Toyota,Premio,2017,51752,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1785000
Subaru,Outback,2018,51925,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2100000
Mazda,CX-5,2019,52098,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2565000
Mercedes-Benz,C200,2020,52271,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3237500
Nissan,X-Trail,2021,52444,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1662500
Honda,Fit,2022,52617,1500 cc,Manual,Petrol,Kisumu,Locally Used,1462500
BMW,X3,2008,52790,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4200000
Audi,A4,2009,52963,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3997499
Toyota,Premio,2010,53136,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2205000
Subaru,Outback,2011,53309,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2580000
Mazda,CX-5,2012,53482,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3135000
Mercedes-Benz,C200,2013,53655,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3937500
Nissan,X-Trail,2014,53828,2000 cc,Automatic,Petrol,Nakuru,Locally Used,2012499
Honda,Fit,2015,54001,1500 cc,Manual,Petrol,Kisumu,Locally Used,1762500
BMW,X3,2016,54174,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,5040000
Audi,A4,2017,54347,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4777500
Toyota,Premio,2018,54520,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1575000
Subaru,Outback,2019,54693,2500 cc,Automatic,Petrol,Nairobi,Locally Used,1860000
Mazda,CX-5,2020,54866,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2280000
Mercedes-Benz,C200,2021,55039,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,2887500
Nissan,X-Trail,2022,55212,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1487500
Honda,Fit,2008,55385,1500 cc,Manual,Petrol,Kisumu,Locally Used,1312500
BMW,X3,2009,55558,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3780000
Audi,A4,2010,55731,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3607500
Toyota,Premio,2011,55904,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1995000
Subaru,Outback,2012,56077,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2340000
Mazda,CX-5,2013,56250,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2850000
Mercedes-Benz,C200,2014,56423,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3587499
Nissan,X-Trail,2015,56596,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1837500
Honda,Fit,2016,56769,1500 cc,Manual,Petrol,Kisumu,Locally Used,1612500
BMW,X3,2017,56942,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4620000
Audi,A4,2018,57115,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4387500
Toyota,Premio,2019,57288,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2415000
Subaru,Outback,2020,57461,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2820000
Mazda,CX-5,2021,57634,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3420000
Mercedes-Benz,C200,2022,57807,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,4287500
Nissan,X-Trail,2008,57980,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1312500
Honda,Fit,2009,58153,1500 cc,Manual,Petrol,Kisumu,Locally Used,1162500
BMW,X3,2010,58326,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3360000
Audi,A4,2011,58499,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3217500
Toyota,Premio,2012,58672,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1785000
Subaru,Outback,2013,58845,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2100000
Mazda,CX-5,2014,59018,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2565000
Mercedes-Benz,C200,2015,59191,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3237500
Nissan,X-Trail,2016,59364,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1662500
Honda,Fit,2017,59537,1500 cc,Manual,Petrol,Kisumu,Locally Used,1462500
BMW,X3,2018,59710,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4200000
Audi,A4,2019,59883,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3997499
Toyota,Premio,2020,60056,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2205000
Subaru,Outback,2021,60229,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2580000
Mazda,CX-5,2022,60402,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3135000
Mercedes-Benz,C200,2008,60575,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3937500
Nissan,X-Trail,2009,60748,2000 cc,Automatic,Petrol,Nakuru,Locally Used,2012499
Honda,Fit,2010,60921,1500 cc,Manual,Petrol,Kisumu,Locally Used,1762500
BMW,X3,2011,61094,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,5040000
Audi,A4,2012,61267,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4777500
Toyota,Premio,2013,61440,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1575000
Subaru,Outback,2014,61613,2500 cc,Automatic,Petrol,Nairobi,Locally Used,1860000
Mazda,CX-5,2015,61786,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2280000
Mercedes-Benz,C200,2016,61959,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,2887500
Nissan,X-Trail,2017,62132,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1487500
Honda,Fit,2018,62305,1500 cc,Manual,Petrol,Kisumu,Locally Used,1312500
BMW,X3,2019,62478,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3780000
Audi,A4,2020,62651,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3607500
Toyota,Premio,2021,62824,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1995000
Subaru,Outback,2022,62997,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2340000
Mazda,CX-5,2008,63170,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2850000
Mercedes-Benz,C200,2009,63343,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3587499
Nissan,X-Trail,2010,63516,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1837500
Honda,Fit,2011,63689,1500 cc,Manual,Petrol,Kisumu,Locally Used,1612500
BMW,X3,2012,63862,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4620000
Audi,A4,2013,64035,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4387500
Toyota,Premio,2014,64208,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2415000
Subaru,Outback,2015,64381,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2820000
Mazda,CX-5,2016,64554,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3420000
Mercedes-Benz,C200,2017,64727,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,4287500
Nissan,X-Trail,2018,64900,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1312500
Honda,Fit,2019,65073,1500 cc,Manual,Petrol,Kisumu,Locally Used,1162500
BMW,X3,2020,65246,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3360000
Audi,A4,2021,65419,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3217500
Toyota,Premio,2022,65592,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1785000
Subaru,Outback,2008,65765,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2100000
Mazda,CX-5,2009,65938,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2565000
Mercedes-Benz,C200,2010,66111,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3237500
Nissan,X-Trail,2011,66284,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1662500
Honda,Fit,2012,66457,1500 cc,Manual,Petrol,Kisumu,Locally Used,1462500
BMW,X3,2013,66630,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4200000
Audi,A4,2014,66803,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3997499
Toyota,Premio,2015,66976,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2205000
Subaru,Outback,2016,67149,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2580000
Mazda,CX-5,2017,67322,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3135000
Mercedes-Benz,C200,2018,67495,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3937500
Nissan,X-Trail,2019,67668,2000 cc,Automatic,Petrol,Nakuru,Locally Used,2012499
Honda,Fit,2020,67841,1500 cc,Manual,Petrol,Kisumu,Locally Used,1762500
BMW,X3,2021,68014,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,5040000
Audi,A4,2022,68187,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4777500
Toyota,Premio,2008,68360,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1575000
Subaru,Outback,2009,68533,2500 cc,Automatic,Petrol,Nairobi,Locally Used,1860000
Mazda,CX-5,2010,68706,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2280000
Mercedes-Benz,C200,2011,68879,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,2887500
Nissan,X-Trail,2012,69052,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1487500
Honda,Fit,2013,69225,1500 cc,Manual,Petrol,Kisumu,Locally Used,1312500
BMW,X3,2014,69398,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3780000
Audi,A4,2015,69571,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3607500
Toyota,Premio,2016,69744,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1995000
Subaru,Outback,2017,69917,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2340000
Mazda,CX-5,2018,70090,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2850000
Mercedes-Benz,C200,2019,70263,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3587499
Nissan,X-Trail,2020,70436,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1837500
Honda,Fit,2021,70609,1500 cc,Manual,Petrol,Kisumu,Locally Used,1612500
BMW,X3,2022,70782,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4620000
Audi,A4,2008,70955,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4387500
Toyota,Premio,2009,71128,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2415000
Subaru,Outback,2010,71301,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2820000
Mazda,CX-5,2011,71474,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3420000
Mercedes-Benz,C200,2012,71647,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,4287500
Nissan,X-Trail,2013,71820,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1312500
Honda,Fit,2014,71993,1500 cc,Manual,Petrol,Kisumu,Locally Used,1162500
BMW,X3,2015,72166,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3360000
Audi,A4,2016,72339,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3217500
Toyota,Premio,2017,72512,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1785000
Subaru,Outback,2018,72685,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2100000
Mazda,CX-5,2019,72858,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2565000
Mercedes-Benz,C200,2020,73031,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3237500
Nissan,X-Trail,2021,73204,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1662500
Honda,Fit,2022,73377,1500 cc,Manual,Petrol,Kisumu,Locally Used,1462500
BMW,X3,2008,73550,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4200000
Audi,A4,2009,73723,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3997499
Toyota,Premio,2010,73896,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2205000
Subaru,Outback,2011,74069,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2580000
Mazda,CX-5,2012,74242,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3135000
Mercedes-Benz,C200,2013,74415,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3937500
Nissan,X-Trail,2014,74588,2000 cc,Automatic,Petrol,Nakuru,Locally Used,2012499
Honda,Fit,2015,74761,1500 cc,Manual,Petrol,Kisumu,Locally Used,1762500
BMW,X3,2016,74934,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,5040000
Audi,A4,2017,75107,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4777500
Toyota,Premio,2018,75280,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1575000
Subaru,Outback,2019,75453,2500 cc,Automatic,Petrol,Nairobi,Locally Used,1860000
Mazda,CX-5,2020,75626,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2280000
Mercedes-Benz,C200,2021,75799,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,2887500
Nissan,X-Trail,2022,75972,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1487500
Honda,Fit,2008,76145,1500 cc,Manual,Petrol,Kisumu,Locally Used,1312500
BMW,X3,2009,76318,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3780000
Audi,A4,2010,76491,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3607500
Toyota,Premio,2011,76664,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1995000
Subaru,Outback,2012,76837,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2340000
Mazda,CX-5,2013,77010,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2850000
Mercedes-Benz,C200,2014,77183,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3587499
Nissan,X-Trail,2015,77356,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1837500
Honda,Fit,2016,77529,1500 cc,Manual,Petrol,Kisumu,Locally Used,1612500
BMW,X3,2017,77702,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4620000
Audi,A4,2018,77875,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4387500
Toyota,Premio,2019,78048,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2415000
Subaru,Outback,2020,78221,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2820000
Mazda,CX-5,2021,78394,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3420000
Mercedes-Benz,C200,2022,78567,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,4287500
Nissan,X-Trail,2008,78740,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1312500
Honda,Fit,2009,78913,1500 cc,Manual,Petrol,Kisumu,Locally Used,1162500
BMW,X3,2010,79086,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3360000
Audi,A4,2011,79259,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3217500
Toyota,Premio,2012,79432,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1785000
Subaru,Outback,2013,79605,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2100000
Mazda,CX-5,2014,79778,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2565000
Mercedes-Benz,C200,2015,79951,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3237500
Nissan,X-Trail,2016,80124,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1662500
Honda,Fit,2017,80297,1500 cc,Manual,Petrol,Kisumu,Locally Used,1462500
BMW,X3,2018,80470,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4200000
Audi,A4,2019,80643,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3997499
Toyota,Premio,2020,80816,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2205000
Subaru,Outback,2021,80989,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2580000
Mazda,CX-5,2022,81162,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3135000
Mercedes-Benz,C200,2008,81335,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3937500
Nissan,X-Trail,2009,81508,2000 cc,Automatic,Petrol,Nakuru,Locally Used,2012499
Honda,Fit,2010,81681,1500 cc,Manual,Petrol,Kisumu,Locally Used,1762500
BMW,X3,2011,81854,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,5040000
Audi,A4,2012,82027,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4777500
Toyota,Premio,2013,82200,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1575000
Subaru,Outback,2014,82373,2500 cc,Automatic,Petrol,Nairobi,Locally Used,1860000
Mazda,CX-5,2015,82546,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2280000
Mercedes-Benz,C200,2016,82719,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,2887500
Nissan,X-Trail,2017,82892,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1487500
Honda,Fit,2018,83065,1500 cc,Manual,Petrol,Kisumu,Locally Used,1312500
BMW,X3,2019,83238,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3780000
